,Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm)
21209,Australia,AUS,Women,1996,165.8581773,164.7210267,167.0034855
21310,Austria,AUT,Women,1996,164.6209454,162.2768063,166.9615026
21411,Azerbaijan,AZE,Women,1996,158.2524089,156.3852305,160.0797625
21512,Bahamas,BHS,Women,1996,160.680362,155.31147819999995,166.2092655
21613,Bahrain,BHR,Women,1996,156.6916935,153.6181745,159.63589319999997
21714,Bangladesh,BGD,Women,1996,150.78884409999995,149.83055019999995,151.75557
21815,Barbados,BRB,Women,1996,165.27701509999997,162.709976,167.8046625
21916,Belarus,BLR,Women,1996,166.3465611,160.83313130000005,171.92065319999998
22017,Belgium,BEL,Women,1996,165.49113549999996,164.1402975,166.8024351
22118,Belize,BLZ,Women,1996,156.8758678,153.55505559999997,160.00692469999996
22219,Benin,BEN,Women,1996,156.15597830000004,155.0845399,157.2419356
22320,Bermuda,BMU,Women,1996,160.6876938,155.20065300000005,166.0882919
22421,Bhutan,BTN,Women,1996,153.6294552,151.8705727,155.46344319999997
22522,Bolivia,BOL,Women,1996,153.8883819,152.655038,155.1507178
22623,Bosnia and Herzegovina,BIH,Women,1996,165.8483102,163.97772719999998,167.7097834
22724,Botswana,BWA,Women,1996,161.3812749,159.8487799,162.89011430000005
22825,Brazil,BRA,Women,1996,160.86354530000003,160.0039321,161.7539371
22926,Brunei Darussalam,BRN,Women,1996,153.98248619999995,148.5615168,159.3329736
23027,Bulgaria,BGR,Women,1996,164.7953594,159.4346784,170.0079197
23128,Burkina Faso,BFA,Women,1996,160.1857488,159.036418,161.36912869999995
23229,Burundi,BDI,Women,1996,154.0233342,152.2191564,155.8166059
23330,Cabo Verde,CPV,Women,1996,161.64953640000004,158.6983854,164.5687761
23431,Cambodia,KHM,Women,1996,152.9055366,151.9710339,153.8352365
23532,Cameroon,CMR,Women,1996,158.81582980000005,157.7161467,159.8865707
23633,Canada,CAN,Women,1996,163.9122753,162.38098530000005,165.4581573
23734,Central African Republic,CAF,Women,1996,158.0375986,155.6845206,160.31369919999997
23835,Chad,TCD,Women,1996,160.170113,158.3354466,161.9489496
23936,Chile,CHL,Women,1996,159.3636607,157.942686,160.79646780000004
24037,China,CHN,Women,1996,159.7088938,158.9088075,160.52069630000003
24138,China (Hong Kong SAR),HKG,Women,1996,159.02540259999995,155.3749221,162.60850180000003
24239,Colombia,COL,Women,1996,156.8522111,155.87953810000005,157.8275394
24340,Comoros,COM,Women,1996,155.58207990000002,154.256785,156.9229931
24441,Congo,COG,Women,1996,157.5742041,156.3139513,158.8600388
24542,Cook Islands,COK,Women,1996,163.1852466,160.14692019999995,166.2500507
24643,Costa Rica,CRI,Women,1996,156.36624419999995,153.63412380000003,159.0580319
24744,Cote d'Ivoire,CIV,Women,1996,158.06541330000005,156.92575490000004,159.220504
24845,Croatia,HRV,Women,1996,165.63143080000003,163.86045269999997,167.4483735
24946,Cuba,CUB,Women,1996,157.98295900000005,156.5591808,159.4513252
25047,Cyprus,CYP,Women,1996,162.274366,159.07300980000005,165.4603661
25148,Czech Republic,CZE,Women,1996,168.4577837,166.2725915,170.6888563
25249,Denmark,DNK,Women,1996,167.2137607,165.6377249,168.80115669999995
25350,Djibouti,DJI,Women,1996,156.11378019999995,150.88622980000005,161.2682535
25451,Dominica,DMA,Women,1996,164.3433887,161.7744734,166.929141
25552,Dominican Republic,DOM,Women,1996,159.027605,157.71419519999995,160.3601763
25653,DR Congo,COD,Women,1996,155.249412,154.0744437,156.41418090000005
25754,Ecuador,ECU,Women,1996,154.2335466,152.67372980000005,155.7869958
25855,Egypt,EGY,Women,1996,157.326818,156.4652593,158.1918596
25956,El Salvador,SLV,Women,1996,154.5488364,153.1065612,156.0519769
26057,Equatorial Guinea,GNQ,Women,1996,157.3263437,151.5826605,163.1011912
26158,Eritrea,ERI,Women,1996,156.386645,154.4759522,158.3307659
26259,Estonia,EST,Women,1996,168.67271530000005,167.835925,169.5320368
26360,Ethiopia,ETH,Women,1996,155.71023380000003,154.498444,156.907424
